Rank,Song,Artist,Album,Streams,Date,From
1,"""Shape of You""",Ed Sheeran,Division,1526,2017,European
2,"""One Dance""",Drake featuring Wizkid and Kyla,Views ,1379,2016,American
3,"""Closer""",The Chainsmokers featuring Halsey,Collage EP ,1186,2016,American
4,"""Lean On""",Major Lazer and DJ Snake featuring MØ,Peace Is the Mission ,1070,2015,African/Carribean
5,"""Sorry""",Justin Bieber,Purpose ,1011,2015,American
6,"""Thinking Out Loud""",Ed Sheeran,Subtraction,1005,2014,European
7,"""Love Yourself""",Justin Bieber,Purpose ,988,2015,American
8,"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,Despacito ,967,2017,American
9,"""Don't Let Me Down""",The Chainsmokers featuring Daya,Collage EP ,959,2016,American
10,"""I Took a Pill in Ibiza (Seeb Remix)""",Mike Posner,"At Night, Alone. ",949,2015,American
11,"""Starboy""",The Weeknd featuring Daft Punk,Starboy ,887,2016,American
12,"""What Do You Mean?""",Justin Bieber,Purpose ,883,2015,American
13,"""Let Me Love You""",DJ Snake featuring Justin Bieber,Encore ,881,2016,European
14,"""Cold Water""",Major Lazer featuring Justin Bieber and MØ,Cold Water ,862,2016,African/Carribean
15,"""Cheap Thrills""",Sia,This Is Acting ,825,2015,Other
16,"""Cheerleader (Felix Jaehn Remix)""",OMI,Me 4 U ,807,2014,African/Carribean
17,"""Photograph""",Ed Sheeran,Mulitplication,801,2014,European
18,"""Stressed Out""",Twenty One Pilots,Blurryface ,800,2015,American
19,"""Uptown Funk""",Mark Ronson featuring Bruno Mars,Uptwon Special,797,2014,American
20,"""7 Years""",Lukas Graham,Lukas Graham ,791,2015,European
21,"""Stitches""",Shawn Mendes,Handwritten ,773,2015,American
22,"""This Is What You Came For""",Calvin Harris featuring Rihanna,This Is What You Came For ,769,2016,European
23,"""Hello""",Adele,25,768,2015,European
24,"""Can't Feel My Face""",The Weeknd,Beauty Behind the Madness ,766,2015,American
25,"""Faded""",Alan Walker,Faded ,762,2015,European
26,"""Work from Home""",Fifth Harmony featuring Ty Dolla $ign,7 -TwentySeven,760,2016,American
27,"""Despacito""",Luis Fonsi featuring Daddy Yankee,Despacito ,755,2017,American
28,"""Take Me to Church""",Hozier,Hozier ,747,2013,European
29,"""Work""",Rihanna featuring Drake,ANTI ,747,2016,American
30,"""Can't Stop the Feeling!""",Justin Timberlake,TROLLS: Original Motion Picture Soundtrack ,734,2016,American
31,"""Say You Won't Let Go""",James Arthur,Back from the Edge ,728,2016,European
32,"""See You Again""",Wiz Khalifa featuring Charlie Puth,Furious 7: Original Motion Picture Soundtrack ,718,2015,American
33,"""Treat You Better""",Shawn Mendes,Illuminate ,715,2016,American
34,"""Stay with Me""",Sam Smith,In the Lonely Hour ,710,2014,European
35,"""Something Just Like This""",The Chainsmokers and Coldplay,Memories...Do Not Open ,710,2017,American
36,"""Light It Up (Remix)""",Major Lazer featuring Nyla and Fuse ODG,Peace Is the Mission (Extended) ,705,2015,African/Carribean
37,"""Heathens""",Twenty One Pilots,Suicide Squad: The Album ,690,2016,American
38,"""Hotline Bling""",Drake,Views ,689,2015,American
39,"""Where Are Ü Now""",Jack U with Justin Bieber,Skrillex and Diplo Present Jack Ü ,687,2015,American
40,"""Let Her Go""",Passenger,All the Little Lights ,677,2012,European
41,"""Panda""",Desiigner,New English ,676,2016,American
42,"""All of Me""",John Legend,Love in the Future ,673,2013,American
43,"""HUMBLE.""",Kendrick Lamar,DAMN.,668,2017,American
44,"""Me, Myself & I""",G-Eazy and Bebe Rexha,When It's Dark Out ,666,2015,American
45,"""Rockabye""",Clean Bandit featuring Sean Paul and AnneRockbye ,,665,2016,European
46,"""Chandelier""",Sia,1000 Forms of Fear ,663,2014,Other
47,"""Radioactive""",Imagine Dragons,Night Visions ,663,2012,American
48,"""The Hills""",The Weeknd,Beauty Behind the Madness ,659,2015,American
49,"""Sugar""",Maroon 5,V,657,2014,American
50,"""Unforgettable""",French Montana featuring Swae Lee,Jungle Rules,657,2017,American
51,"""I'm the One""","DJ Khaled featuring Justin Beiber, Quavo, Chance the Rapper and Lil Wayne",Grateful,652,2017,American
52,"""Lush Life""",Zara Larsson,So Good,648,2015,European
53,"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez,Nine Track Mind,638,2016,American
54,"""Cake by the Ocean""",DNCE,DNCE,637,2015,American
55,"""Love Me Like You Do""",Ellie Goulding,Fifty Shades of Grey: Original Motion Picture Soundtrack,635,2015,European
56,"""It Ain't Me""",Kygo and Selena Gomez,Stargazing,631,2017,Other
57,"""Ride""",Twenty One Pilots,Blurryface ,629,2016,American
58,"""In the Name of Love""",MartIn Garrix and Bebe Rexha,In the Name of Love,627,2016,European
59,"""I Don't Wanna Live Forever""",ZAYN and Taylor Swift,Fifty Shades Darker: Original Motion Picture Soundtrack,626,2016,European
60,"""Too Good""",Drake featuring Rihanna,Views ,623,2016,American
61,"""Counting Stars""",OneRepublic,Native,618,2013,American
62,"""That's What I Like""",Bruno Mars,24K Magic,616,2016,American
63,"""rockstar""",Post Malone featuring 21 Savage,rockstar,607,2017,American
64,"""i hate u, i love u""",gnash featuring Olivia O'Brien,us,606,2016,American
65,"""XO TOUR Llif3""",Lil Uzi Vert,Luv Is Rage 2 ,600,2017,American
66,"""Fast Car""",Jonas Blue featuring Dakota,Jonas Blue: Electronic Nature � The Mix 2017,600,2015,European
67,"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,The Heist,599,2011,American
68,"""Side to Side""",Ariana Grande featuring Nicki Minaj,Dangerous Woman,596,2016,American
69,"""Rather Be""",Clean Bandit featuring Jess Glynne,New Eyes,595,2014,European
70,"""Roses""",The Chainsmokers featuring Rozes,Bouquet,595,2015,American
71,"""PILLOWTALK""",ZAYN,Mind of Mine,591,2016,European
72,"""Sugar""",Robin Schulz featuring Francesco Yates,Sugar,587,2015,European
73,"""Demons""",Imagine Dragons,Night Visions ,584,2012,American
74,"""Trap Queen""",Fetty Wap,Fetty Wap,574,2014,American
75,"""Congratulations""",Post Malone featuring Quavo,Stoney ,571,2017,American
76,"""Starving""",Hailee Steinfield and Grey featuring Zedd,Haiz,570,2016,American
77,"""I Feel It Coming""",The Weeknd featuring Daft Punk,Starboy ,567,2016,American
78,"""Attention""",Charlie Puth,Attention,567,2017,American
79,"""Wake Me Up""",Avicii,TRUE,560,2013,American
80,"""Firestone""",Kygo featuring Conrad Sewell,Cloud Nine,556,2014,Other
81,"""Needed Me""",Rihanna,ANTI ,551,2016,American
82,"""Riptide""",Vance Joy,Dream Your Life Away,548,2013,Other
83,"""Happy""",Pharrell Williams,GIRL,548,2013,American
84,"""Middle""",DJ Snake featuring Bipolar Sunshine,Encore ,547,2015,European
85,"""Want to Want Me""",Jason Derulo,Everything Is 4,545,2015,American
86,"""New Rules""",Dua Lipa,Dua Lipa,544,2017,European
87,"""Stay""",Zedd and Alessia Cara,Stay,544,2017,Other
88,"""Paris""",The Chainsmokers,Memories...Do Not Open ,541,2017,American
89,"""Earned It""",The Weeknd,Beauty Behind the Madness ,539,2015,American
90,"""Mi Gente""",J Balvin and Willy William,Mi Gente,537,2017,American
91,"""How Deep Is Your Love""",Calvin Harris and Disciples,How Deep Is Your Love,535,2015,Other
92,"""24K Magic""",Bruno Mars,24K Magic,534,2016,American
93,"""Thunder""",Imagine Dragons,Evolve,533,2017,American
94,"""Mask Off""",Future,Future,530,2017,American
95,"""Stole the Show""",Kygo featuring Parson James,Cloud Nine,527,2017,Other
96,"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj",Sweet Talker,523,2014,American
97,"""Call On Me (Ryan Riback Remix)""",Starley,Call On Me,522,2016,Other
98,"""Fake Love""",Drake,More Life ,520,2016,American
99,"""Believer""",Imagine Dragons,Evolve,520,2017,American
100,"""Swalla""",Jason Derulo featuring Nicki Minaj and Ty Dolla $ign,Swalla,519,2017,American
