Rank,Song,Artist,Album,Streams,Date,From
1,"""Shape of You""",Ed Sheeran,Division,2021,2017,European
2,"""One Dance""",Drake featuring Wizkid and Kyla,Views,1612,2016,American
3,"""Closer""",The Chainsmokers featuring Halsey,Collage,1440,2016,American
4,"""rockstar""",Post Malone featuring 21 Savage,beerbongs & bentleys,1373,2017,American
5,"""Thinking Out Loud""",Ed Sheeran,Multiplication,1236,2014,European
6,"""Lean On""",Major Lazer and DJ Snake featuring MO,Peace Is the Mission,1191,2015,African/Carribean
7,"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,Non-album single,1175,2017,American
8,"""Love Yourself""",Justin Bieber,Purpose,1152,2015,American
9,"""God's Plan""",Drake,Scorpion,1150,2018,American
10,"""Sorry""",Justin Bieber,Purpose,1132,2015,American
11,"""Don't Let Me Down""",The Chainsmokers featuring Daya,Collage,1114,2016,American
12,"""Havana""",Camila Cabello featuring Young Thug,Camila,1109,2017,American
13,"""I Took a Pill in Ibiza (Seeb Remix)""",Mike Posner,"At Night, Alone.",1086,2015,American
14,"""Starboy""",The Weeknd featuring Daft Punk,Starboy,1085,2016,American
15,"""Let Me Love You""",DJ Snake featuring Justin Bieber,Encore,1038,2016,European
16,"""New Rules""",Dua Lipa,Dua Lipa,1034,2017,European
17,"""Photograph""",Ed Sheeran,Multiplication,1028,2014,European
18,"""Say You Won't Let Go""",James Arthur,Back from the Edge,1005,2016,European
19,"""Perfect""",Ed Sheeran,Divide,985,2017,European
20,"""Cold Water""",Major Lazer featuring Justin Bieber and MO,Non-album single,977,2016,African/Carribean
21,"""Cheap Thrills""",Sia,This Is Acting,973,2015,Other
22,"""What Do You Mean?""",Justin Bieber,Purpose,971,2015,American
23,"""HUMBLE.""",Kendrick Lamar,DAMN.,971,2017,American
24,"""Something Just Like This""",The Chainsmokers and Coldplay,Memories...Do Not Open,970,2017,American
25,"""Stressed Out""",Twenty One Pilots,Blurryface,957,2015,American
26,"""XO TOUR Llif3""",Lil Uzi Vert,Luv Is Rage 2,951,2017,American
27,"""Uptown Ronsn featuring Bruno951,014
28.,""Faded""""""",Alan Walker,Different World,935,2015,European
29,"""Despacito""",Luis Fonsi featuring Daddy Yankee,Non-album single,934,2017,American
30,"""Unforgettable""",French Montana featuring Swae 925,Jungle Rules,925,2017,American
31,"""7 Years""",Lukas Graham,Lukas Graham,918,2015,European
32,"""Thunder""",Imagine Dragons,Evolve,912,2017,American
33,"""Take Me to Church""",Hozier,Hozier,910,2013,European
34,"""Cheerleader (Felix Jaehn Remix)""",OMI,Me 4 U,910,2014,African/Carribean
35,"""Stitches""",Shawn Mendes,Handwritten,887,2015,American
36,"""Congratulations""",Post Malone featuring Quavo,Stoney,884,2016,American
37,"""Can't Stop the Feeling!""",Justin Timberlake,Trolls: Original Motion Picture Soundtrack,881,2016,American
38,"""Treat You Better""",Shawn Mendes,Illuminate,881,2016,American
39,"""Believer""",Imagine Dragons,Evolve,882,2017,American
40,"""This Is What You Came For""",Calvin Harris featuring Rihanna,Non-album single,878,2016,European
41,"""Hello""",Adele,25,876,2015,European
42,"""Work from Home""",Fifth Harmony featuring Ty Dolla $ign,7-Twenty Seven,876,2016,American
43,"""Can't Feel My Face""",The Weeknd,Beauty Behind the Madness,875,2015,American
44,"""Stay with Me""",Sam Smith,In the Lonely Hour,869,2014,European
45,"""All of Me""",John Legend,Love in the Future,864,2013,American
46,"""Let Her Go""",Passenger,All the Little Lights,859,2012,European
47,"""Work""",Rihanna featuring Drake,ANTI,842,2016,American
48,"""See You Again""",Wiz Khalifa featuring Charlie Puth,Furious 7: Original Motion Picture Soundtrack,834,2015,American
49,"""That's What I Like""",Bruno Mars,24K Magic,830,2016,American
50,"""""""I'm the One""""""",DJ Khaled featuring Justin Bieber + Quavo +Chance the Rapper and Lil Wayne,Grateful,826,2017,American
51,"""Rockabye""",Clean Bandit featuring Sean Paul and Anne-Marie,What is love?,824,2016,European
52,"""Heathens""",Twenty One Pilots,Suicide Squad: The Album,822,2016,American
53,"""Radioactive""",Imagine Dragons,Night Visions,820,2012,American
54,"""Light It Up (Remix)""",Major Lazer featuring Nyla and Fuse ODG,Peace Is the Mission: Extended,811,2015,African/Carribean
55,"""It Ain't Me""",Kygo and Selena Gomez,Stargazing,800,2017,Other
56,"""Attention""",Charlie Puth,Voicenotes,797,2017,American
57,"""Chandelier""",Sia,1000 Forms of Fear,797,2014,European
58,"""SAD!""",XXXTENTACION,?,795,2018,American
59,"""I Don't Wanna Live Forever""",ZAYN and Taylor Swift,Fifty Shades Darker: Original Motion Picture Soundtrack,794,2017,European
60,"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez,Nine Track Mind,782,2016,American
61,"""Mi Gente""",J Balvin and Willy William,Vibras,780,2017,American
62,"""Hotline Bling""",Drake,Views,777,2015,American
63,"""Counting Stars""",OneRepublic,Native,777,2013,American
64,"""Panda""",Desiigner,New English,776,2016,American
65,"""Wake Me Up""",Avicii,TRUE,775,2013,European
